symbol,entry_date,setup,p_raw,p_cal,score,is_win,r_realized
EOG,2024-06-24,momentum,0.5493157835019578,0.562962962962963,56,1,2.749
XOM,2024-06-24,momentum,0.5182036913559056,0.45714285714285713,46,1,2.748
AXP,2024-06-24,momentum,0.42959088417572044,0.3397291196388262,34,1,2.744
AFRM,2024-06-24,momentum,0.5888474737066286,0.5714285714285714,57,0,-1.0
SCHW,2024-06-25,momentum,0.39757531583630606,0.3397291196388262,34,0,-1.0
TMO,2024-06-25,reversion,0.25202720519300054,0.33519553072625696,34,0,-1.0
VST,2024-06-25,momentum,0.43833317652544046,0.41379310344827586,41,0,-1.0
META,2024-06-25,momentum,0.4723782733996164,0.41379310344827586,41,1,2.751
AAPL,2024-06-26,momentum,0.4579596547343217,0.41379310344827586,41,1,2.755
MPWR,2024-06-26,momentum,0.39172244935607636,0.3397291196388262,34,1,2.749
MRNA,2024-06-26,reversion,0.3146728108069375,0.33519553072625696,34,0,-1.0
AMAT,2024-06-26,momentum,0.3778250421542167,0.3397291196388262,34,1,2.749
PDD,2024-06-26,reversion,0.3859090700393314,0.3397291196388262,34,0,-1.0
HPE,2024-06-26,momentum,0.4299637682337422,0.3397291196388262,34,0,-1.0
TSM,2024-06-26,momentum,0.4368612774589059,0.41379310344827586,41,1,2.752
UBER,2024-06-26,momentum,0.4121996417088693,0.3397291196388262,34,0,-1.0
IREN,2024-06-26,momentum,0.40392767100719046,0.3397291196388262,34,0,-1.0
AVGO,2024-06-27,momentum,0.40999794566125275,0.3397291196388262,34,1,2.749
SHOP,2024-06-27,momentum,0.4352064313748548,0.41379310344827586,41,0,-1.0
ROKU,2024-06-27,momentum,0.6994671503409187,0.6785714285714286,68,1,2.747
CIEN,2024-06-27,momentum,0.4263376994245049,0.3397291196388262,34,0,-1.0
RTX,2024-06-27,reversion,0.3922866015334598,0.3397291196388262,34,0,-1.0
IWM,2024-06-27,momentum,0.4635122863322951,0.41379310344827586,41,1,2.746
QQQ,2024-06-27,momentum,0.4421454366447559,0.41379310344827586,41,1,2.593
SMH,2024-06-27,momentum,0.3142880849049971,0.33519553072625696,34,0,-1.0
ORCL,2024-06-27,momentum,0.3980236723171679,0.3397291196388262,34,1,2.743
SOXX,2024-06-27,momentum,0.35222397920610976,0.3397291196388262,34,1,2.656
VRT,2024-06-28,reversion,0.3102562082986345,0.33519553072625696,34,0,-1.0
MRK,2024-06-28,breakout,0.26827764109505203,0.33519553072625696,34,1,1.474
PWR,2024-06-28,reversion,0.3334023717858377,0.3397291196388262,34,0,-1.0
UNH,2024-06-28,momentum,0.6398742133542162,0.641711229946524,64,1,2.705
CRM,2024-06-28,momentum,0.6343985406352888,0.641711229946524,64,1,2.633
MA,2024-07-01,reversion,0.2627928152493872,0.33519553072625696,34,1,2.501
TXN,2024-07-01,momentum,0.3781271907611404,0.3397291196388262,34,1,2.757
ASML,2024-07-01,momentum,0.35181699693635476,0.3397291196388262,34,1,2.691
COST,2024-07-01,momentum,0.3581594671423221,0.3397291196388262,34,1,2.75
CLSK,2024-07-01,momentum,0.6406455989910108,0.641711229946524,64,0,-1.0
DAL,2024-07-01,reversion,0.37785279540411176,0.3397291196388262,34,0,-1.0
NFLX,2024-07-01,momentum,0.4555384842341317,0.41379310344827586,41,0,-1.0
CCJ,2024-07-02,reversion,0.44695916020444804,0.41379310344827586,41,0,-1.0
AMD,2024-07-02,momentum,0.5227928559858803,0.5042016806722689,50,1,2.556
HON,2024-07-02,momentum,0.45019446389753115,0.41379310344827586,41,1,2.747
SPY,2024-07-02,momentum,0.4381325181976888,0.41379310344827586,41,1,2.751
DELL,2024-07-02,momentum,0.4466820945523597,0.41379310344827586,41,0,-1.0
MRVL,2024-07-02,momentum,0.4030718156024822,0.3397291196388262,34,0,-1.0
FCX,2024-07-03,momentum,0.5476721316834111,0.562962962962963,56,0,-1.0
ADI,2024-07-03,momentum,0.5584987944456118,0.562962962962963,56,1,2.506
NEM,2024-07-03,momentum,0.6919806579293669,0.6785714285714286,68,1,2.684
XLV,2024-07-03,reversion,0.2058355192830216,0.33519553072625696,34,1,2.5
VRTX,2024-07-05,momentum,0.49068986424416283,0.4461538461538462,45,1,2.753
VST,2024-07-05,momentum,0.4899198353241954,0.4461538461538462,45,0,-1.0
UAL,2024-07-05,reversion,0.354534479597838,0.3397291196388262,34,0,-1.0
SO,2024-07-05,momentum,0.5457162091291217,0.562962962962963,56,1,2.729
ETR,2024-07-05,reversion,0.3824502089585415,0.3397291196388262,34,0,-1.0
QCOM,2024-07-05,momentum,0.5122415455491318,0.45714285714285713,46,0,-1.0
CMG,2024-07-08,reversion,0.39871504162193094,0.3397291196388262,34,0,-1.0
MRNA,2024-07-08,reversion,0.39237261493417325,0.3397291196388262,34,1,2.502
CEG,2024-07-08,momentum,0.3922902684369769,0.3397291196388262,34,0,-1.0
PATH,2024-07-09,breakout,0.3621623753642376,0.3397291196388262,34,1,3.0
BWXT,2024-07-09,momentum,0.36986282445712404,0.3397291196388262,34,1,2.662
EOG,2024-07-09,momentum,0.4464442966003491,0.41379310344827586,41,1,2.752
NOW,2024-07-09,breakout,0.3057343612332407,0.33519553072625696,34,0,-1.0
VRT,2024-07-09,momentum,0.5614922120787046,0.562962962962963,56,0,-1.0
ETN,2024-07-10,momentum,0.5672487896525013,0.562962962962963,56,0,-1.0
BIDU,2024-07-10,momentum,0.7446862274661918,0.7281553398058253,73,1,2.7
IREN,2024-07-11,breakout,0.26906290391502413,0.33519553072625696,34,0,-1.0
NEE,2024-07-11,momentum,0.46985076220957966,0.41379310344827586,41,0,-1.0
LOW,2024-07-11,momentum,0.7101612604607572,0.7281553398058253,73,1,2.552
JD,2024-07-11,momentum,0.6275499571466124,0.641711229946524,64,1,2.767
